file,point_index,series,x_px,y_px,rssi,rssi_float,area
3.PNG,61,yellow,1070.5,1017.5,-83,-82.97,440
4.PNG,1,blue,257.5,938.5,-69,-69.02,448
4.PNG,2,yellow,267.5,1117.5,-78,-78.03,440
4.PNG,3,yellow,282.5,1156.5,-80,-80.0,440
4.PNG,4,yellow,293.5,1077.5,-76,-76.02,440
4.PNG,5,yellow,308.5,1017.5,-73,-73.0,440
4.PNG,6,yellow,323.5,1057.5,-75,-75.01,440
4.PNG,7,yellow,334.5,1017.5,-73,-73.0,440
4.PNG,8,blue,348.5,898.5,-67,-67.01,449
4.PNG,9,blue,361.5,918.5,-68,-68.01,449
4.PNG,10,yellow,375.5,977.5,-71,-70.98,440
4.PNG,11,blue,389.5,918.5,-68,-68.01,448
4.PNG,12,yellow,402.5,1017.5,-73,-73.0,440
4.PNG,13,yellow,415.5,1216.5,-83,-83.02,442
4.PNG,14,yellow,427.5,1037.5,-74,-74.0,356
4.PNG,15,yellow,444.0,1037.5,-74,-74.0,376
4.PNG,16,yellow,456.5,977.5,-71,-70.98,439
4.PNG,17,yellow,467.5,997.5,-72,-71.99,439
4.PNG,18,blue,481.5,938.5,-69,-69.02,448
4.PNG,19,blue,495.5,958.5,-70,-70.03,450
4.PNG,20,yellow,507.5,1097.5,-77,-77.03,440
4.PNG,21,yellow,523.5,1315.5,-88,-88.0,440
4.PNG,22,yellow,534.5,1037.5,-74,-74.0,440
4.PNG,23,yellow,550.5,1216.5,-83,-83.02,440
4.PNG,24,yellow,562.4,1117.5,-78,-78.03,435
4.PNG,25,yellow,571.5,997.5,-72,-71.99,440
4.PNG,26,yellow,585.4,1117.5,-78,-78.03,442
4.PNG,27,yellow,601.5,1057.5,-75,-75.01,440
4.PNG,28,blue,616.5,958.5,-70,-70.03,448
4.PNG,29,blue,629.5,898.5,-67,-67.01,448
4.PNG,30,blue,643.5,938.5,-69,-69.02,448
4.PNG,31,yellow,656.5,1057.5,-75,-75.01,440
4.PNG,32,blue,667.5,938.5,-69,-69.02,448
4.PNG,33,yellow,681.5,1097.5,-77,-77.03,440
4.PNG,34,yellow,689.5,1017.5,-73,-73.0,440
4.PNG,35,yellow,709.5,1057.5,-75,-75.01,441
4.PNG,36,yellow,722.5,1037.5,-74,-74.01,441
4.PNG,37,yellow,735.4,997.5,-72,-71.99,395
4.PNG,38,yellow,746.5,1057.5,-75,-75.01,440
4.PNG,39,yellow,754.2,997.5,-72,-71.99,412
4.PNG,40,yellow,776.4,977.6,-71,-70.99,434
4.PNG,41,blue,789.5,958.5,-70,-70.03,448
4.PNG,42,yellow,803.5,1017.3,-73,-72.99,431
4.PNG,43,yellow,810.5,1037.7,-74,-74.02,431
4.PNG,44,yellow,824.5,997.5,-72,-71.99,440
4.PNG,45,yellow,842.4,977.6,-71,-70.99,434
4.PNG,46,blue,854.3,958.5,-70,-70.03,400
4.PNG,47,blue,872.7,958.5,-70,-70.03,400
4.PNG,48,blue,883.5,898.5,-67,-67.01,470
4.PNG,49,yellow,910.5,1136.5,-79,-78.99,440
4.PNG,50,blue,923.5,878.5,-66,-66.0,448
4.PNG,51,yellow,937.5,1037.3,-74,-73.99,431
4.PNG,52,yellow,944.5,1057.7,-75,-75.02,431
4.PNG,53,yellow,961.5,977.5,-71,-70.98,440
4.PNG,54,blue,974.5,938.5,-69,-69.02,448
4.PNG,55,yellow,989.5,1196.5,-82,-82.01,440
4.PNG,56,yellow,1004.5,1136.5,-79,-78.99,440
4.PNG,57,blue,1015.0,958.5,-70,-70.03,658
4.PNG,58,yellow,1043.5,1057.5,-75,-75.01,440
4.PNG,59,blue,1054.5,878.5,-66,-66.0,448
4.PNG,60,yellow,1070.5,1057.5,-75,-75.01,440
5.PNG,1,yellow,257.5,1097.5,-77,-77.0,440
5.PNG,2,yellow,267.5,997.5,-72,-71.97,440
5.PNG,3,yellow,280.0,1117.5,-78,-78.01,376
5.PNG,4,yellow,297.0,1117.5,-78,-78.01,376
5.PNG,5,yellow,309.5,1077.5,-76,-75.99,440
5.PNG,6,blue,321.5,918.5,-68,-68.0,448
5.PNG,7,yellow,336.5,1017.5,-73,-72.98,440
5.PNG,8,yellow,348.5,1057.5,-75,-74.99,440
5.PNG,9,blue,360.9,938.5,-69,-69.01,382
5.PNG,10,blue,377.5,938.5,-69,-69.01,362
5.PNG,11,blue,389.5,958.5,-70,-70.01,450
5.PNG,12,blue,401.5,918.5,-68,-68.0,448
5.PNG,13,yellow,416.5,1037.5,-74,-73.98,441
5.PNG,14,yellow,427.5,977.5,-71,-70.97,440
5.PNG,15,yellow,442.5,1017.5,-73,-72.98,440
5.PNG,16,yellow,454.5,1097.5,-77,-77.0,356
5.PNG,17,yellow,471.0,1097.5,-77,-77.0,376
5.PNG,18,yellow,483.5,1256.5,-85,-84.99,440
5.PNG,19,yellow,493.5,1117.5,-78,-78.01,356
5.PNG,20,yellow,510.0,1117.5,-78,-78.01,376
5.PNG,21,yellow,522.5,1196.5,-82,-81.98,441
5.PNG,22,yellow,535.5,1176.5,-81,-80.97,441
5.PNG,23,yellow,549.5,1196.5,-82,-81.98,440
5.PNG,24,yellow,560.5,1156.5,-80,-79.97,440
5.PNG,25,yellow,573.5,1116.9,-78,-77.97,417
5.PNG,26,yellow,578.4,1136.8,-79,-78.98,428
5.PNG,27,yellow,602.5,1117.5,-78,-78.0,441
5.PNG,28,yellow,615.5,1097.5,-77,-77.0,441
5.PNG,29,yellow,628.5,1136.5,-79,-78.96,440
5.PNG,30,yellow,642.5,1276.5,-86,-86.0,440
5.PNG,31,yellow,656.5,1256.5,-85,-84.99,440
5.PNG,32,yellow,666.5,1216.5,-83,-82.98,440
5.PNG,33,yellow,681.5,1176.5,-81,-80.97,356
5.PNG,34,yellow,698.0,1176.5,-81,-80.97,376
5.PNG,35,yellow,709.5,977.5,-71,-70.97,440
5.PNG,36,yellow,721.5,1196.5,-82,-81.98,440
5.PNG,37,blue,734.5,958.5,-70,-70.01,450
5.PNG,38,yellow,748.5,1196.5,-82,-81.98,440
5.PNG,39,yellow,754.5,1117.5,-78,-78.01,440
5.PNG,40,yellow,776.5,1136.5,-79,-78.96,440
5.PNG,41,yellow,789.5,1196.5,-82,-81.98,440
5.PNG,42,yellow,802.5,1017.5,-73,-72.98,440
5.PNG,43,blue,815.5,938.5,-69,-69.01,448
5.PNG,44,yellow,820.5,997.5,-72,-71.97,440
5.PNG,45,blue,841.5,958.5,-70,-70.01,448
5.PNG,46,blue,851.5,918.5,-68,-68.0,448
5.PNG,47,yellow,867.5,1057.5,-75,-74.99,440
5.PNG,48,yellow,877.5,1236.5,-84,-83.99,440
5.PNG,49,yellow,894.5,1216.5,-83,-82.98,440
5.PNG,50,yellow,909.5,1037.5,-74,-73.98,440
5.PNG,51,blue,922.5,938.5,-69,-69.01,448
5.PNG,52,yellow,932.5,1057.5,-75,-74.99,440
5.PNG,53,blue,948.5,958.5,-70,-70.01,448
5.PNG,54,yellow,959.5,1077.6,-76,-76.0,435
5.PNG,55,yellow,968.5,1057.4,-75,-74.98,435
5.PNG,56,yellow,995.5,1077.5,-76,-75.99,672
5.PNG,57,yellow,1014.5,1117.5,-78,-78.01,440
5.PNG,58,blue,1029.5,958.5,-70,-70.01,448
