file,point_index,series,x_px,y_px,rssi,rssi_float,area
4.PNG,13,yellow,428.0,942.5,-74,-74.04,376
4.PNG,14,yellow,445.0,942.5,-74,-74.04,376
4.PNG,15,yellow,456.5,973.5,-76,-75.99,440
4.PNG,16,yellow,468.0,942.5,-74,-74.04,376
4.PNG,17,yellow,485.0,942.5,-74,-74.04,376
4.PNG,18,blue,496.5,862.5,-69,-69.02,448
4.PNG,19,yellow,510.0,895.1,-71,-71.07,408
4.PNG,20,blue,523.3,878.7,-70,-70.04,435
4.PNG,21,blue,537.6,862.4,-69,-69.01,443
4.PNG,22,yellow,548.5,1005.5,-78,-78.0,440
4.PNG,23,yellow,561.5,958.5,-75,-75.05,441
4.PNG,24,blue,574.4,846.5,-68,-68.02,452
4.PNG,25,blue,591.3,878.7,-70,-70.04,435
4.PNG,26,blue,604.7,862.3,-69,-69.01,435
4.PNG,27,yellow,616.5,1053.5,-81,-81.01,440
4.PNG,28,yellow,629.5,1085.5,-83,-83.02,440
4.PNG,29,yellow,642.5,894.5,-71,-71.03,440
4.PNG,30,yellow,657.5,1069.5,-82,-82.02,440
4.PNG,31,yellow,670.5,1228.5,-92,-92.0,440
4.PNG,32,blue,684.0,877.8,-70,-69.98,410
4.PNG,33,yellow,696.5,894.6,-71,-71.03,436
4.PNG,34,yellow,710.5,1085.5,-83,-83.02,440
4.PNG,35,yellow,722.5,910.5,-72,-72.03,440
4.PNG,36,yellow,737.5,1053.5,-81,-81.01,440
4.PNG,37,yellow,750.5,1085.5,-83,-83.02,440
4.PNG,38,yellow,764.3,973.7,-76,-76.0,429
4.PNG,39,yellow,778.7,958.3,-75,-75.04,429
4.PNG,40,yellow,788.5,989.5,-77,-76.99,440
4.PNG,41,yellow,804.5,942.5,-74,-74.04,440
4.PNG,42,yellow,815.5,1021.5,-79,-79.0,440
4.PNG,43,yellow,827.5,1085.5,-83,-83.02,440
4.PNG,44,yellow,843.4,926.6,-73,-73.04,436
4.PNG,45,yellow,858.6,910.4,-72,-72.03,436
4.PNG,46,yellow,871.5,1117.5,-85,-85.03,440
4.PNG,47,yellow,884.5,1005.5,-78,-78.0,440
4.PNG,48,yellow,895.5,894.5,-71,-71.03,440
4.PNG,49,yellow,912.2,973.1,-76,-75.97,421
4.PNG,50,yellow,923.8,989.9,-77,-77.02,421
4.PNG,51,yellow,938.5,958.5,-75,-75.05,440
4.PNG,52,blue,948.3,862.7,-69,-69.03,435
4.PNG,53,blue,961.0,846.3,-68,-68.0,405
4.PNG,54,blue,979.7,846.5,-68,-68.02,400
4.PNG,55,yellow,990.5,1021.5,-79,-79.0,356
4.PNG,56,yellow,1007.0,1021.5,-79,-79.0,376
4.PNG,57,yellow,1019.5,1117.5,-85,-85.03,440
4.PNG,58,blue,1032.5,878.5,-70,-70.02,448
4.PNG,59,yellow,1045.5,1021.5,-79,-79.0,440
4.PNG,60,yellow,1059.5,942.5,-74,-74.04,441
4.PNG,61,yellow,1070.5,973.5,-76,-75.99,440
5.PNG,1,yellow,257.5,989.5,-77,-77.0,440
5.PNG,2,yellow,269.5,926.5,-73,-73.05,440
5.PNG,3,blue,281.4,830.6,-67,-67.02,443
5.PNG,4,blue,296.6,814.4,-66,-66.01,443
5.PNG,5,yellow,310.5,1021.5,-79,-79.01,440
5.PNG,6,yellow,323.5,1053.5,-81,-81.02,440
5.PNG,7,yellow,335.5,894.5,-71,-71.04,440
5.PNG,8,yellow,349.5,942.5,-74,-74.05,440
5.PNG,9,blue,362.5,830.5,-67,-67.02,448
5.PNG,10,yellow,376.5,958.5,-75,-75.05,440
5.PNG,11,blue,389.5,830.5,-67,-67.02,448
5.PNG,12,yellow,403.5,894.5,-71,-71.04,440
5.PNG,13,yellow,413.5,1069.5,-82,-82.02,440
5.PNG,14,blue,430.5,862.5,-69,-69.03,448
5.PNG,15,yellow,442.5,989.5,-77,-77.0,440
5.PNG,16,blue,457.5,814.5,-66,-66.01,448
5.PNG,17,blue,470.5,878.5,-70,-70.03,448
5.PNG,18,yellow,484.5,973.5,-76,-76.0,440
5.PNG,19,yellow,497.5,926.5,-73,-73.05,440
5.PNG,20,yellow,511.5,973.5,-76,-76.0,440
5.PNG,21,yellow,524.5,1005.5,-78,-78.01,440
5.PNG,22,blue,536.5,878.5,-70,-70.03,448
5.PNG,23,yellow,551.5,910.5,-72,-72.04,440
5.PNG,24,blue,565.5,878.5,-70,-70.03,449
5.PNG,25,yellow,576.5,1005.5,-78,-78.01,440
5.PNG,26,yellow,590.5,1212.5,-91,-91.0,440
5.PNG,27,yellow,602.5,910.5,-72,-72.04,440
5.PNG,28,blue,618.5,846.5,-68,-68.02,448
5.PNG,29,yellow,631.5,894.5,-71,-71.04,440
